location_id,city,state,country,postal_code,timezone,region
1,South Maria,Georgia,American Samoa,21532,Asia/Colombo,West
2,South Erica,Missouri,Bulgaria,29264,America/Regina,North
3,Michaelberg,Missouri,Cape Verde,52922,America/St_Lucia,South
4,Christophershire,Nevada,Netherlands,46145,Europe/Malta,North
5,Leonardburgh,Kentucky,Gibraltar,06155,Europe/Sofia,West
6,South Troyfurt,Nebraska,Saint Barthelemy,50146,Atlantic/Cape_Verde,South
7,Smithfurt,New York,Slovenia,92948,Africa/Conakry,West
8,Lake Brandonland,Wyoming,Kazakhstan,06031,Africa/Tripoli,South
9,Masonfort,Virginia,Holy See (Vatican City State),99555,Africa/Abidjan,North
10,Lake Noahmouth,South Dakota,Niue,70656,Europe/Minsk,East
11,Christopherville,Kentucky,Azerbaijan,62797,Asia/Beirut,East
12,South Brittanyborough,Utah,Latvia,37270,America/St_Kitts,East
13,West Lesliefurt,Georgia,Guam,35661,Asia/Choibalsan,East
14,Port Sarahtown,California,Ukraine,12213,America/Havana,South
15,Port Michelleville,Minnesota,Kenya,09006,Africa/Windhoek,West
16,South Teresa,Oregon,Bouvet Island (Bouvetoya),75957,America/Guyana,West
17,Davidside,Nevada,Armenia,93971,America/Barbados,East
18,Danielleview,Delaware,Slovenia,42423,Europe/Copenhagen,West
19,Monroeberg,Kentucky,Congo,03293,Africa/Casablanca,West
20,West Staceymouth,Idaho,Venezuela,87751,Indian/Mahe,East
21,New Nathanielchester,Hawaii,Afghanistan,94104,Africa/Bujumbura,South
22,Port Judith,Oklahoma,Sierra Leone,27594,Africa/Sao_Tome,West
23,Pattymouth,Oklahoma,Haiti,34818,Asia/Rangoon,North
24,Brendaport,Colorado,Reunion,86542,Africa/Djibouti,North
25,New Stacey,Alaska,Reunion,61335,Asia/Brunei,North
26,South Benjaminton,California,Barbados,67996,America/Havana,South
27,Gardnerland,New Hampshire,Eritrea,55336,Asia/Bangkok,South
28,Tinaberg,South Carolina,Guinea,27382,Africa/Blantyre,North
29,Christopherfort,South Dakota,Panama,01921,America/Nipigon,East
30,Port Michael,Pennsylvania,Estonia,54849,Africa/Kigali,South
31,Cookstad,Michigan,Nepal,22985,Africa/Harare,East
32,East Bobbyshire,Nevada,Marshall Islands,48553,Europe/Sofia,North
33,Lake Thomasfurt,Montana,Cameroon,39394,Asia/Aqtobe,South
34,North Crystal,Kentucky,Georgia,64549,Africa/Ouagadougou,West
35,North Melissamouth,Kansas,Bhutan,68168,America/Campo_Grande,North
36,New Christopher,Alabama,Bangladesh,15548,Europe/Helsinki,South
37,South Chad,Oregon,Kenya,91520,Pacific/Auckland,North
38,Carolmouth,Missouri,Iraq,03933,Europe/Belgrade,West
39,Port Michael,Virginia,Saint Vincent and the Grenadines,32511,Asia/Kabul,North
40,Tonyahaven,Vermont,Kazakhstan,51675,Atlantic/Reykjavik,South
41,East Lori,Illinois,Saint Helena,27250,Europe/Sarajevo,West
42,South Kristen,Louisiana,Australia,81229,Pacific/Efate,West
43,East Donaldmouth,Kansas,Gabon,09287,Europe/Oslo,East
44,East Kathleenbury,California,Costa Rica,43420,Asia/Qatar,West
45,Grantland,Connecticut,Sweden,89372,America/Eirunepe,South
46,North Gina,Washington,Mongolia,08432,Africa/Dar_es_Salaam,North
47,East Jason,Oklahoma,Saint Barthelemy,96732,Europe/Riga,North
48,New Danielle,Colorado,China,33251,Europe/Ljubljana,South
49,Kathrynbury,Vermont,Pitcairn Islands,23198,Europe/Bucharest,West
50,West Alison,Hawaii,Paraguay,26277,Africa/Accra,East
51,North Michelleland,Ohio,Brunei Darussalam,71272,Asia/Baku,West
52,Matthewview,Illinois,Tanzania,75384,Africa/Monrovia,North
53,East Peter,Nebraska,Yemen,84385,Africa/Nairobi,West
54,East Elizabethshire,Utah,Saint Pierre and Miquelon,26229,Asia/Samarkand,South
55,South Pennyside,Illinois,Maldives,59440,America/Belize,West
56,North Jennifer,Texas,Lao People's Democratic Republic,29517,America/Costa_Rica,South
57,North Tracey,Alaska,Mali,40124,Africa/Abidjan,North
58,Myersshire,Alabama,Turks and Caicos Islands,10586,Europe/Vilnius,East
59,Baxterburgh,Delaware,Cape Verde,45066,America/Santo_Domingo,East
60,Kiddville,Washington,Ukraine,20203,Africa/Khartoum,South
61,East John,Minnesota,Thailand,22164,Asia/Bishkek,West
62,Katrinaland,Pennsylvania,Heard Island and McDonald Islands,49963,Europe/Berlin,South
63,Curryshire,Minnesota,New Zealand,76061,Europe/Berlin,South
64,Sierraland,Montana,Bolivia,82678,Europe/Zagreb,West
65,Biancabury,Wisconsin,Pakistan,35787,America/Lima,North
66,Hugheshaven,Massachusetts,Cote d'Ivoire,96945,Pacific/Funafuti,East
67,West Katelyn,North Dakota,Norway,13974,Asia/Damascus,South
68,New Jodi,Illinois,Cook Islands,47893,Asia/Manila,West
69,New Marvinland,Pennsylvania,Cuba,23300,Europe/Warsaw,South
70,Coleport,Florida,Lithuania,79106,Europe/Oslo,West
71,New Jasonton,Massachusetts,Namibia,80743,Africa/Lusaka,East
72,Jenniferside,Rhode Island,Benin,16803,Europe/Budapest,North
73,New Jeffrey,Virginia,Malta,67012,Asia/Colombo,North
74,Alexandermouth,Connecticut,Ukraine,96105,Africa/Abidjan,East
75,Adrienneport,Indiana,Bermuda,75580,Africa/Conakry,South
76,Amandaview,Tennessee,Sweden,43368,Africa/Kampala,South
77,Cynthiamouth,Washington,Niger,96095,America/La_Paz,South
78,Jimenezton,Arizona,Anguilla,85470,Europe/Skopje,East
79,Janicehaven,Ohio,Palestinian Territory,33566,Europe/Tirane,East
80,Mckinneyton,Maryland,Colombia,16146,Africa/Ouagadougou,North
81,Lake Samantha,West Virginia,Djibouti,70696,Europe/Rome,West
82,Candiceport,Maryland,Paraguay,21628,Asia/Dili,North
83,Johnborough,Arizona,Slovenia,52557,Africa/Douala,East
84,Jamesfort,Wyoming,Czech Republic,26627,Africa/Lusaka,West
85,Burtonburgh,Tennessee,Lesotho,85785,America/Antigua,West
86,Lake Aaronfurt,Alabama,Barbados,59402,Africa/Ndjamena,North
87,Michaelfurt,Maine,Italy,95681,Africa/Nouakchott,North
88,Josephport,Minnesota,Estonia,74128,Africa/Lome,North
89,Port Toddmouth,Washington,Netherlands,04435,Africa/Tunis,East
90,Port Brenda,Arkansas,Guatemala,37649,Europe/Bucharest,South
91,East Judith,Missouri,Samoa,45199,America/Costa_Rica,North
92,New Mackenziefurt,Montana,Czech Republic,88624,America/Paramaribo,South
93,South Sandra,Illinois,Holy See (Vatican City State),65123,America/La_Paz,East
94,Castanedastad,Georgia,Tunisia,14814,America/Antigua,South
95,Lake Laurenton,New Hampshire,Korea,69577,Asia/Damascus,East
96,East Gabrielle,Connecticut,Tajikistan,53730,Europe/Brussels,West
97,Wardstad,Georgia,Brunei Darussalam,59899,Europe/Sarajevo,South
98,Ericmouth,Arkansas,Saint Barthelemy,62633,Asia/Dubai,West
99,Baileyshire,Wyoming,South Africa,94219,Europe/Minsk,East
100,East Margaretfort,Maine,Uruguay,28448,Asia/Bangkok,North
101,East Bryan,Delaware,Vietnam,82044,Asia/Riyadh,West
102,Lake Pamelaburgh,Illinois,Iran,60771,Europe/Stockholm,South
103,South Patricia,Kentucky,Korea,40000,America/St_Vincent,East
104,Myersside,Indiana,Costa Rica,59594,Europe/Andorra,North
105,Jonesmouth,Tennessee,Uruguay,86511,Asia/Brunei,East
106,Vasquezmouth,Delaware,Qatar,86303,Asia/Shanghai,East
107,Kinghaven,Connecticut,Japan,46541,Europe/Warsaw,West
108,Port Nicholas,Florida,Korea,87855,Africa/Maseru,North
109,Christopherfurt,South Carolina,Aruba,95667,Atlantic/Azores,South
110,New Matthewburgh,Missouri,Kyrgyz Republic,13273,Africa/Porto-Novo,West
111,Benjaminside,Ohio,Singapore,86724,Asia/Dubai,East
112,New Jenniferport,Arkansas,Kyrgyz Republic,53823,America/Caracas,South
113,North William,Iowa,Suriname,39515,Africa/Maseru,West
114,West Evelyn,New Mexico,Uganda,81781,Asia/Kuala_Lumpur,South
115,Campbellburgh,Oklahoma,Latvia,62994,Africa/Gaborone,South
116,Albertfurt,Maine,Moldova,25252,Asia/Vientiane,South
117,New Adammouth,Maryland,Qatar,82184,Asia/Yerevan,South
118,Lake Judith,Indiana,Falkland Islands (Malvinas),83454,Africa/Harare,West
119,New Travisfurt,Oklahoma,Sweden,61564,Europe/Istanbul,North
120,Priceside,Oklahoma,Central African Republic,08877,Africa/Libreville,East
121,South David,Texas,Netherlands,22220,Pacific/Tongatapu,West
122,Robertchester,Wyoming,Iran,31881,Asia/Bahrain,North
123,Anthonystad,Tennessee,Bangladesh,97602,Asia/Seoul,East
124,Huertachester,Michigan,Syrian Arab Republic,06322,Europe/Vatican,West
125,Kristinport,Florida,Israel,02566,Africa/Harare,East
126,Lake Nicolasview,Kentucky,Kenya,91503,Asia/Damascus,North
127,Port Rebeccabury,New Hampshire,El Salvador,27902,America/St_Kitts,South
128,Chavezmouth,Massachusetts,Haiti,53621,Pacific/Apia,West
129,Lauriestad,New Hampshire,Argentina,92536,America/St_Lucia,East
130,New Luke,Kentucky,Brunei Darussalam,98576,Africa/Abidjan,East
131,Lake Anthony,North Dakota,Korea,88138,Pacific/Auckland,East
132,Garciaside,Indiana,Poland,80546,America/Lima,West
133,South Heather,Tennessee,Tokelau,96099,Africa/Maseru,South
134,Clarkefort,New Hampshire,Cote d'Ivoire,22192,Africa/Sao_Tome,South
135,New Travis,Minnesota,Venezuela,10612,Asia/Katmandu,South
136,Ethanside,Louisiana,Czech Republic,53379,America/Costa_Rica,East
137,Tammyville,Virginia,Saudi Arabia,95497,Europe/Berlin,West
138,North Danielhaven,Delaware,Hong Kong,58850,Pacific/Tongatapu,East
139,West Cody,Wisconsin,Maldives,61613,Europe/Malta,North
140,Lake Johnland,Connecticut,Iran,17171,Europe/Chisinau,West
141,Stonemouth,Kansas,Saudi Arabia,19072,Pacific/Easter,South
142,South Russellchester,West Virginia,Kiribati,89591,America/Tegucigalpa,West
143,Estradastad,South Dakota,Czech Republic,67128,America/Guatemala,East
144,Jeremiahbury,Maryland,Norway,98312,Europe/Tirane,East
145,Christiehaven,Utah,Mayotte,94976,America/Belize,East
146,Diazmouth,Washington,Slovakia (Slovak Republic),37589,Europe/Vaduz,North
147,Piercemouth,Oregon,Gabon,65715,America/Belize,East
148,Lake Brittanymouth,Nebraska,Antigua and Barbuda,50670,America/Guayaquil,North
149,Gentryshire,Kentucky,Myanmar,78544,America/Kentucky/Monticello,North
150,Garnerton,Colorado,Saint Lucia,07778,Asia/Vientiane,North
151,North Williemouth,Pennsylvania,Wallis and Futuna,61152,Europe/Prague,South
152,Andreaside,Ohio,Greenland,67896,Europe/Riga,South
153,North David,West Virginia,Norfolk Island,08858,America/North_Dakota/Center,South
154,Luiston,North Carolina,Somalia,02552,Asia/Calcutta,South
155,Longberg,Alaska,Barbados,22698,Africa/Dakar,East
156,Port Antonioburgh,South Dakota,Namibia,17702,Europe/Amsterdam,West
157,Robertton,New Mexico,Zimbabwe,48836,America/St_Lucia,North
158,Port Larrybury,California,Swaziland,24345,America/Tijuana,North
159,Martinstad,Hawaii,Timor-Leste,72138,Asia/Vientiane,East
160,South Toddhaven,New Hampshire,Costa Rica,34785,America/St_Vincent,East
161,New Shannon,Oregon,Martinique,03053,Europe/Bucharest,North
162,Brookeland,Iowa,Kuwait,22612,America/Antigua,South
163,South Tiffany,Utah,Sierra Leone,70750,Asia/Aden,West
164,West Joel,Kentucky,Bulgaria,14663,Europe/Sofia,South
165,East Melissa,North Dakota,Heard Island and McDonald Islands,41803,Asia/Nicosia,West
166,Port Sara,Connecticut,Germany,19324,Pacific/Kwajalein,South
167,Lake Robertmouth,Alabama,Korea,03809,America/Guatemala,West
168,Brownhaven,Louisiana,Norway,66992,America/El_Salvador,West
169,Whitefort,Nevada,Turks and Caicos Islands,13172,Asia/Damascus,West
170,East Kurt,California,Ethiopia,41896,Europe/Oslo,South
171,South Kendraview,Delaware,Martinique,30609,Europe/Bucharest,North
172,Delgadoborough,Wisconsin,Philippines,21292,America/Port_of_Spain,South
173,Floresville,Vermont,Holy See (Vatican City State),77294,Europe/Helsinki,East
174,North Donald,Connecticut,Kazakhstan,44282,Europe/Zagreb,South
175,North Bethany,South Dakota,San Marino,60516,Africa/Dakar,East
176,Mccormickbury,Georgia,Belgium,18675,Pacific/Majuro,East
177,Port Joseph,Alaska,Netherlands Antilles,10029,Africa/Douala,West
178,West Elizabeth,North Dakota,Jordan,21588,Europe/Warsaw,East
179,Lydiaside,Minnesota,Austria,01001,Africa/Bujumbura,North
180,East Stephanieburgh,Georgia,Uganda,73960,Asia/Baku,West
181,Brownstad,Kentucky,Zambia,48801,America/Boa_Vista,West
182,Smithton,Kansas,Taiwan,16705,Africa/Lome,South
183,Christophermouth,North Carolina,Guatemala,05953,Europe/Zagreb,East
184,North Melanieport,Texas,Bahrain,46076,Europe/Vienna,West
185,Brownberg,Maine,Guyana,65214,Indian/Mahe,East
186,West Mark,Missouri,Sao Tome and Principe,95168,Africa/Maseru,West
187,New Joelland,Georgia,Fiji,11798,Indian/Antananarivo,East
188,New Fernandoside,North Carolina,Australia,99517,America/Caracas,South
189,North Jamesfurt,Michigan,Marshall Islands,75557,Pacific/Ponape,East
190,West Stephen,Rhode Island,Bahamas,22317,Asia/Colombo,East
191,North Jacquelineport,Mississippi,Australia,88307,America/Lima,North
192,North David,Oregon,Saint Kitts and Nevis,67844,Asia/Tbilisi,West
193,North Seanport,North Carolina,Bahamas,04387,Africa/Casablanca,North
194,Jessicaview,Florida,Guadeloupe,73873,Africa/Dar_es_Salaam,East
195,Lake Holly,California,Switzerland,19000,America/Panama,East
196,West Anthonyberg,Missouri,Korea,86609,Africa/Banjul,South
197,South Miranda,Tennessee,Spain,18144,Africa/Niamey,North
198,Christopherburgh,Maryland,Heard Island and McDonald Islands,91791,America/Dominica,North
199,Burtonfurt,North Carolina,Malta,31385,Asia/Karachi,East
200,Port Johnburgh,Rhode Island,Mexico,41971,Pacific/Easter,South
201,New Kelliebury,Virginia,Zambia,97729,Africa/Blantyre,South
202,Craigborough,Rhode Island,Estonia,67529,Europe/Riga,South
203,Smithshire,Kansas,Palestinian Territory,26989,Asia/Tehran,West
204,East Davidshire,Hawaii,Costa Rica,58462,Africa/Khartoum,South
205,South Jameston,Virginia,Equatorial Guinea,50876,Africa/Khartoum,North
206,Nataliemouth,Michigan,Spain,71178,Pacific/Apia,North
207,North Danaburgh,California,Mozambique,85965,Europe/Prague,South
208,South Paulmouth,Hawaii,Albania,29472,Asia/Rangoon,North
209,Ramirezfort,New Hampshire,Barbados,05782,Asia/Pyongyang,East
210,Aprilbury,Alabama,Turkey,51342,Asia/Dili,West
211,North Rickyland,Nebraska,Uruguay,92442,Asia/Jerusalem,West
212,South Ronaldtown,Utah,Saint Pierre and Miquelon,75164,Asia/Taipei,South
213,Katrinastad,Tennessee,Liechtenstein,71355,Asia/Karachi,East
214,North Richardshire,Colorado,Austria,75117,Africa/Tunis,West
215,Millertown,Virginia,Guernsey,45902,Europe/Paris,South
216,New Williammouth,Utah,Israel,37033,Europe/Budapest,East
217,Wongmouth,Oklahoma,Guam,80717,Africa/Nairobi,South
218,West Derek,Minnesota,Nauru,49994,Africa/Dakar,North
219,New Sandra,Florida,Northern Mariana Islands,02463,Atlantic/Madeira,East
220,Richardsfort,Idaho,Cambodia,54200,Africa/Dar_es_Salaam,North
221,South Joseph,Delaware,Paraguay,34595,Asia/Urumqi,South
222,Hamiltonside,Nebraska,British Virgin Islands,78196,America/Belize,West
223,North Maryside,South Dakota,Micronesia,27677,Europe/Skopje,South
224,Lake Jesse,Connecticut,Morocco,91240,America/Grenada,South
225,Port Nicolestad,Kentucky,Argentina,84407,Asia/Kabul,North
226,Coleside,Nevada,Libyan Arab Jamahiriya,50254,Indian/Mauritius,East
227,South Anthony,Connecticut,Central African Republic,69463,Asia/Manila,West
228,Harperchester,California,Congo,67094,Asia/Kuwait,East
229,Villegasside,Minnesota,United States Virgin Islands,14149,Europe/Vaduz,East
230,Lake Alexisfurt,Missouri,Hong Kong,20828,Asia/Katmandu,North
231,Lake Elizabethberg,Virginia,Kazakhstan,27329,Pacific/Apia,East
232,Melissaview,Colorado,Latvia,37694,Asia/Thimphu,East
233,Valdezview,Nevada,Oman,17083,Pacific/Tongatapu,East
234,Cathyburgh,Alaska,Egypt,30841,Europe/Paris,West
235,Port John,Nebraska,El Salvador,58475,Europe/Malta,East
236,North Elijahfort,Kentucky,Saint Helena,57748,Pacific/Kosrae,West
237,Robbinsfurt,Oklahoma,Barbados,29494,America/Guatemala,South
238,Guerraview,Vermont,Cameroon,37442,America/St_Lucia,South
239,East Michelle,Michigan,British Virgin Islands,45640,Africa/Bissau,South
240,New Kimberly,Indiana,United States Minor Outlying Islands,35585,Asia/Jerusalem,West
241,East Todd,California,Zimbabwe,85977,America/Tegucigalpa,North
242,Port Matthewchester,Washington,Micronesia,74289,Africa/Lubumbashi,South
243,East Patricia,Maine,Cayman Islands,88812,Europe/Copenhagen,East
244,New Eric,Maine,Seychelles,13527,Africa/Kampala,East
245,Browningview,Ohio,Iran,77235,Africa/Asmera,South
246,North Jodiberg,Maryland,Finland,37435,Europe/Ljubljana,South
247,Teresaberg,Virginia,Cyprus,26806,Asia/Amman,East
248,Port Rebecca,Maryland,Poland,42857,America/Guatemala,North
249,Jenkinsville,Colorado,Croatia,92091,America/Asuncion,East
250,Davishaven,Alaska,French Southern Territories,18446,America/Guyana,West
251,New Maureenside,Virginia,Poland,40623,Africa/Dar_es_Salaam,North
252,North Anneside,Hawaii,Kazakhstan,43888,America/La_Paz,East
253,South Heidiberg,North Dakota,Liberia,09150,Asia/Singapore,West
254,Ginachester,Nevada,Brazil,51030,Africa/Lome,West
255,Hortonview,Maryland,Trinidad and Tobago,18166,Atlantic/Azores,North
256,North Robert,Delaware,New Caledonia,46002,Africa/Tunis,West
257,Taylorland,Maryland,Tajikistan,43699,Europe/Vienna,South
258,Barkerport,Massachusetts,Ecuador,58550,Asia/Ashgabat,West
259,New Alexander,Kansas,Sri Lanka,94263,Asia/Nicosia,North
260,New Rebeccaside,Kansas,Sao Tome and Principe,74209,Africa/Kampala,South
261,Guyfurt,Hawaii,Saint Helena,31042,Asia/Calcutta,East
262,East Travisburgh,Montana,Burundi,94314,Europe/Amsterdam,South
263,Jacksonshire,Hawaii,Bangladesh,72617,America/Tegucigalpa,North
264,Saraton,New Jersey,San Marino,98592,Atlantic/Cape_Verde,East
265,New Sheilahaven,Illinois,Belgium,81066,Africa/Djibouti,South
266,Mirandaport,Indiana,Saint Barthelemy,24904,Europe/Simferopol,North
267,East Diamond,Alaska,Algeria,24960,Africa/Sao_Tome,South
268,North Deanna,Vermont,Argentina,79577,Africa/Cairo,South
269,North Zacharyside,Texas,Reunion,60157,Africa/Harare,East
270,Garciamouth,Maine,Botswana,89331,Africa/Bamako,South
271,Lake Ryanchester,Arizona,Sierra Leone,26996,Asia/Amman,East
272,South Kimberly,South Carolina,Nauru,16977,Europe/Belgrade,South
273,New Emily,Nebraska,Canada,02422,Europe/Minsk,North
274,Hatfieldton,Oregon,British Virgin Islands,44887,America/Costa_Rica,South
275,South Gabriellemouth,Connecticut,Guinea,71106,Asia/Dili,South
276,Sandrastad,Connecticut,Lebanon,35550,Asia/Katmandu,West
277,Wardchester,Ohio,Philippines,97671,Europe/Tirane,West
278,Wesleyberg,Rhode Island,Falkland Islands (Malvinas),46861,Europe/Vienna,South
279,East Kenneth,Wyoming,Costa Rica,00923,America/Phoenix,South
280,Wilsontown,Louisiana,Latvia,05456,Asia/Choibalsan,South
281,East Laurabury,Missouri,Palestinian Territory,30230,Pacific/Chatham,East
282,North Pamela,Alaska,Sierra Leone,61251,Africa/Nairobi,East
283,Nguyentown,Texas,Dominican Republic,56220,Asia/Qatar,South
284,Jeffreyborough,North Carolina,Austria,38080,Asia/Calcutta,South
285,Lake Amanda,Montana,Guam,54735,Europe/Amsterdam,South
286,Padillafurt,Oregon,Myanmar,34215,Europe/Warsaw,West
287,Robertmouth,South Carolina,Cote d'Ivoire,73526,Asia/Singapore,South
288,North Dwayne,Colorado,Liberia,42251,Pacific/Port_Moresby,North
289,New Christophershire,North Carolina,Oman,80964,Asia/Anadyr,North
290,Jeffreybury,Indiana,Croatia,11956,Africa/Mbabane,North
291,Lake John,California,Namibia,52899,Africa/Abidjan,East
292,South Stanley,Wyoming,French Guiana,68481,Asia/Kuching,North
293,East Patricia,Massachusetts,Tajikistan,37578,Pacific/Funafuti,South
294,Brianaton,Wyoming,Sudan,94313,Atlantic/Reykjavik,East
295,West Eddie,New Mexico,Moldova,43731,America/Nassau,South
296,North Cathy,Delaware,Canada,25433,Pacific/Majuro,North
297,New Richardborough,Delaware,Tonga,12642,Asia/Qyzylorda,West
298,New Brookeberg,Alabama,Zimbabwe,34195,Pacific/Efate,South
299,East Chadville,Alaska,Switzerland,85054,Europe/Sofia,South
300,Buchananchester,Georgia,Dominica,68086,Asia/Tehran,East
301,Chloeport,Maine,Mexico,26910,Asia/Phnom_Penh,West
302,Patriciaborough,Arizona,Faroe Islands,32210,Africa/Bissau,South
303,Moorehaven,New Mexico,Guinea,63702,Europe/Uzhgorod,West
304,North Kristashire,Vermont,Turkey,35964,Atlantic/Azores,South
305,Dukeville,Vermont,Brazil,46767,Asia/Yakutsk,East
306,Andrewton,Illinois,Israel,32653,Europe/Stockholm,East
307,West Christophershire,Texas,Ethiopia,82818,Asia/Yerevan,East
308,Ryanberg,New Mexico,Congo,69346,Asia/Beirut,West
309,Robertfurt,Ohio,Gambia,11536,America/Grenada,South
310,Thomasfurt,Alabama,Mayotte,45549,Asia/Damascus,West
311,Fergusonside,New York,Tajikistan,41251,Africa/Gaborone,West
312,Lauraberg,Maryland,Christmas Island,73836,Atlantic/Cape_Verde,South
313,North Lindseyshire,Illinois,Mauritius,86597,Africa/Lubumbashi,North
314,East Jessicaport,Arkansas,Austria,74357,Europe/Bratislava,North
315,Port Lori,Hawaii,Finland,19242,Asia/Kuwait,East
316,North Deborahborough,Indiana,Lithuania,01716,Africa/Tripoli,East
317,Tinastad,Minnesota,Reunion,90548,Africa/Dakar,East
318,South Andrew,Michigan,Norfolk Island,82584,Africa/Luanda,South
319,Snyderborough,Montana,Kuwait,57207,Africa/Bamako,West
320,Cynthiatown,South Dakota,Iran,62203,Asia/Gaza,West
321,East Thomasmouth,Alabama,Tuvalu,90762,Africa/Douala,North
322,East Austin,Oregon,Comoros,39757,America/Paramaribo,West
323,Lake Ryan,Rhode Island,Malaysia,86233,Europe/Chisinau,West
324,Lake Michael,Ohio,Palestinian Territory,67053,Asia/Bahrain,West
325,Walkerfort,Pennsylvania,Senegal,48295,Asia/Saigon,West
326,Henryton,Georgia,Nicaragua,25899,Africa/Ndjamena,West
327,Chaneyview,North Carolina,Guernsey,93897,Asia/Karachi,North
328,Kathrynchester,Vermont,India,94067,Africa/Djibouti,East
329,East Kenneth,Kentucky,Iran,58608,Pacific/Easter,North
330,Brownbury,New York,Cape Verde,46511,Africa/Maputo,West
331,West Charlene,Wisconsin,Egypt,26791,Asia/Ashgabat,South
332,Seanmouth,Washington,Solomon Islands,87606,Europe/Budapest,South
333,East Alexandriaberg,Texas,Korea,43864,Asia/Nicosia,East
334,West Ronaldmouth,Wyoming,France,53254,Europe/Brussels,South
335,East Jaime,Alabama,Jordan,04830,Asia/Almaty,West
336,Mariebury,South Dakota,Austria,04171,Asia/Samarkand,South
